UniProt_ID,Protein,Gene,OMIM_ID
Q9NSK7,CS012_HUMAN,C19orf12,614298
Q96CG8,CTHR1_HUMAN,CTHRC1,614266
O60716,CTND1_HUMAN,CTNND1,617681
Q99895,CTRC_HUMAN,CTRC,167800
O14578,CTRO_HUMAN,CIT,617090
Q13618,CUL3_HUMAN,CUL3,614496
P08686,CP21A_HUMAN,CYP21A2,201910
Q6V0L0,CP26C_HUMAN,CYP26C1,614974
Q02318,CP27A_HUMAN,CYP27A1,213700
O14810,CPLX1_HUMAN,CPLX1,617976
Q6NT55,CP4FN_HUMAN,CYP4F22,604777
Q8IZJ3,CPMD8_HUMAN,CPAMD8,617319
P50416,CPT1A_HUMAN,CPT1A,255120
P31327,CPSM_HUMAN,CPS1,237300
P78560,CRADD_HUMAN,CRADD,614499
P53672,CRBA2_HUMAN,CRYBA2,115900
P53673,CRBA4_HUMAN,CRYBA4,610425
Q96SW2,CRBN_HUMAN,CRBN,607417
Q96D31,CRCM1_HUMAN,ORAI1,612782
Q9BU40,CRDL1_HUMAN,CHRDL1,309300
P07315,CRGC_HUMAN,CRYGC,604307
P07320,CRGD_HUMAN,CRYGD,115700
Q9P021,CRIPT_HUMAN,CRIPT,615789
Q99708,CTIP_HUMAN,RBBP8,251255
P35222,CTNB1_HUMAN,CTNNB1,114500
Q4G0X9,CCD40_HUMAN,CCDC40,613808
Q9H0W5,CCDC8_HUMAN,CCDC8,614205
P53701,CCHL_HUMAN,HCCS,309801
Q9BSQ5,CCM2_HUMAN,CCM2,603284
Q9H211,CDT1_HUMAN,CDT1,613804
Q2WEN9,CEA16_HUMAN,CEACAM16,614614
Q00534,CDK6_HUMAN,CDK6,612223
Q96MT7,CFA44_HUMAN,CFAP44,617593
P08603,CFAH_HUMAN,CFH,126700
Q92796,DLG3_HUMAN,DLG3,300850
P00751,CFAB_HUMAN,CFB,603075
Q16828,DUS6_HUMAN,DUSP6,615269
O75881,CP7B1_HUMAN,CYP7B1,270800
P23786,CPT2_HUMAN,CPT2,255110
P26998,CRBB3_HUMAN,CRYBB3,609741
P16220,CREB1_HUMAN,CREB1,612160
